Guinea,2005/06,0,0,0,0,0,0,0,0,550,550,249,799,,,,,
Guinea,2006/07,0,0,0,0,0,0,0,0,350,350,518,868,,,,,
Guinea,2007/08,0,0,155,0,46,0,0,0,0,201,22,223,,,,,
Guinea,2008/09,0,0,40,0,434,0,0,0,206,680,0,680,,,,,
Guinea-Bissau,2004/05,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Guinea-Bissau,2005/06,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Guinea-Bissau,2006/07,0,0,0,0,32,0,0,0,0,32,0,32,,,,,
Guinea-Bissau,2007/08,0,0,0,0,1,0,0,0,0,1,0,1,,,,,
Guinea-Bissau,2008/09,0,0,0,0,42,0,0,0,0,42,0,42,,,,,
Kenya,2004/05,5847,17647,5,49,3827,3401,318,432,5506,37031,-1843,35188,,,,,
Kenya,2005/06,5379,28978,288,0,5724,5030,741,3,16544,62686,387,63073,,,,,
Kenya,2006/07,13381,28078,792,85,4385,4283,716,12,13235,64966,322,65288,,,,,
Kenya,2007/08,13737,13622,2478,0,3738,6159,399,11,4578,44722,4,44726,,,,,
Kenya,2008/09,33984,37102,7477,13,5261,2422,1,449,15595,102304,381,102685,,,,,
Lesotho,2004/05,0,73,330,155,2024,835,0,24,0,3441,80,3522,,,,,
Lesotho,2005/06,0,61,584,25,2502,1111,0,20,0,4305,14,4319,,,,,
Lesotho,2006/07,2367,29,607,0,2781,959,0,10,0,6752,13,6765,,,,,
Lesotho,2007/08,141,95,471,0,2463,734,0,4,0,3908,0,3908,,,,,
Lesotho,2008/09,1505,285,644,0,1647,1213,0,50,0,5343,878,6221,,,,,
Liberia,2004/05,0,134,0,0,1507,0,0,0,1697,3337,5118,8455,,,,,
Liberia,2005/06,0,0,163,0,2826,0,0,0,2316,5305,775,6081,,,,,
Liberia,2006/07,240,240,124,135,2443,280,240,0,1956,5659,2705,8364,,,,,
Liberia,2007/08,0,2895,189,1350,2255,0,152,0,764,7606,0,7606,,,,,
Liberia,2008/09,0,7048,0,1639,4414,50,0,0,0,13150,3548,16698,,,,,
Libya,2004/05,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Libya,2005/06,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Libya,2006/07,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Libya,2007/08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Libya,2008/09,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Madagascar,2004/05,54,0,0,0,50,33,0,0,200,338,7374,7712,,,,,
Madagascar,2005/06,99,0,0,0,33,22,0,0,0,154,1697,1852,,,,,
Madagascar,2006/07,14461,0,0,0,27,116,0,0,0,14604,1067,15672,,,,,
Madagascar,2007/08,587,0,0,0,24,16,0,0,851,1477,0,1477,,,,,
Madagascar,2008/09,9029,0,0,0,0,0,0,0,311,9341,0,9341,,,,,
Malawi,2004/05,4997,16489,5451,450,14128,10266,12,55,3621,55469,812,56282,,,,,
Malawi,2005/06,6512,21452,1625,746,10283,11277,0,35,1973,53903,14685,68588,,,,,
Malawi,2006/07,6385,24653,1285,600,9307,12628,0,24,1875,56758,6551,63309,,,,,
